hardware,latency_ms
Colab CPU,148.15678299999036
Colab CPU,82.22717700004978
Colab CPU,78.22189599994545
Colab CPU,61.86056399997142
Colab CPU,56.33192799996323
Colab CPU,57.202707999977065
Colab CPU,62.18113199997788
Colab CPU,62.97750900000665
Colab CPU,61.16520599994146
Colab CPU,62.299122000013085
Colab CPU,60.06978400000662
Colab CPU,66.39559500001724
Colab CPU,76.55135899995003
Colab CPU,57.47726899994632
Colab CPU,72.87186900009601
Colab CPU,69.59804000007352
Colab CPU,60.75862000000143
Colab CPU,73.2300720000012
Colab CPU,121.60949100007201
Colab CPU,100.35571600008097
Colab CPU,71.29294399999253
Colab CPU,80.22182100000919
Colab CPU,74.7414850000041
Colab CPU,72.2684779999554
Colab CPU,85.94810600004621
Colab CPU,85.6071889999157
Colab CPU,94.18816700008392
Colab CPU,67.35925999998926
Colab CPU,107.37681500006602
Colab CPU,64.3885990000399
Colab CPU,67.34762500002489
Colab CPU,69.2770709999877
Colab CPU,73.99374999999964
Colab CPU,73.40090699995017
Colab CPU,93.20443599995087
Colab CPU,72.32986199994684
Colab CPU,105.0893519999363
Colab CPU,58.83700000003955
Colab CPU,90.98503500001698
Colab CPU,84.56350599999496
Colab CPU,93.22664699993766
Colab CPU,95.69003999990855
Colab CPU,71.55292699997062
Colab CPU,132.06325500004823
Colab CPU,118.05108699991251
Colab CPU,102.46402900008889
Colab CPU,81.92678399996112
Colab CPU,74.44350200000827
Colab CPU,75.84332800001903
Colab CPU,93.73310500006937
Colab CPU,104.47348700006387
Colab CPU,119.04950799998915
Colab CPU,78.36199299993041
Colab CPU,75.21985400001086
Colab CPU,93.58621600006245
Colab CPU,87.30060200002754
Colab CPU,86.89117699998405
Colab CPU,90.84337499996309
Colab CPU,84.71627999995235
Colab CPU,95.80858499998612
Colab CPU,78.5722989999158
Colab CPU,93.13473800000338
Colab CPU,67.50427899999067
Colab CPU,69.3692900000542
Colab CPU,97.13147100001152
Colab CPU,71.25030600002447
Colab CPU,91.37733099998968
Colab CPU,108.81534000009196
Colab CPU,62.46320200000355
Colab CPU,135.42198000004646
Colab CPU,62.1939330000032
Colab CPU,83.48075399999288
Colab CPU,79.99441800006934
Colab CPU,108.79846700004236
Colab CPU,72.1722939999836
Colab CPU,70.42641800001093
Colab CPU,81.47799000005307
Colab CPU,89.07152799997675
Colab CPU,105.9197409999797
Colab CPU,68.59502700001485
Colab CPU,99.51751299990974
Colab CPU,63.279436000016176
Colab CPU,98.44875600003888
Colab CPU,81.56924499996876
Colab CPU,74.08505900002638
Colab CPU,67.05380500000047
Colab CPU,56.03331600002548
Colab CPU,64.59849999998823
Colab CPU,48.76853799999026
Colab CPU,57.290222000006
Colab CPU,52.76524399994287
Colab CPU,54.676878999998735
Colab CPU,54.46430599999985
Colab CPU,62.78831000008722
Colab CPU,50.506519999999
Colab CPU,72.08144200001243
Colab CPU,54.81096699998034
Colab CPU,54.471100999990085
Colab CPU,62.05407100003413
Colab CPU,74.11956400005693
